Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.503200e-06,0,0
-1.502800e-06,0,0
-1.502400e-06,-0.2,0
-1.502000e-06,0,-2
-1.501600e-06,0,-4
-1.501200e-06,0,0
-1.500800e-06,0,-2
-1.500400e-06,0,-2
-1.500000e-06,0,-2
-1.499600e-06,0,0
-1.499200e-06,0,0
-1.498800e-06,0,0
-1.498400e-06,0,0
-1.498000e-06,0,-2
-1.497600e-06,0,0
-1.497200e-06,0,-2
-1.496800e-06,0,0
-1.496400e-06,0,-2
-1.496000e-06,0,-2
-1.495600e-06,0,-2
-1.495200e-06,0,0
-1.494800e-06,0,0
-1.494400e-06,0,-2
-1.494000e-06,0,0
-1.493600e-06,0,-2
-1.493200e-06,0,0
-1.492800e-06,0.2,0
-1.492400e-06,-0.2,0
-1.492000e-06,0,0
-1.491600e-06,0,0
-1.491200e-06,0,0
-1.490800e-06,0,0
-1.490400e-06,0,-2
-1.490000e-06,0,-2
-1.489600e-06,0,0
-1.489200e-06,0,-2
-1.488800e-06,0,-2
-1.488400e-06,0,-2
-1.488000e-06,0,0
-1.487600e-06,0,-2
-1.487200e-06,0,0
-1.486800e-06,0,0
-1.486400e-06,0,0
-1.486000e-06,0,0
-1.485600e-06,0,0
-1.485200e-06,0,0
-1.484800e-06,0,0
-1.484400e-06,0,0
-1.484000e-06,0,0
-1.483600e-06,0,0
-1.483200e-06,0,0
-1.482800e-06,-0.2,-2
-1.482400e-06,0,-2
-1.482000e-06,0,-2
-1.481600e-06,-0.2,-2
-1.481200e-06,0,-2
-1.480800e-06,0,-2
-1.480400e-06,0,-2
-1.480000e-06,0,-2
-1.479600e-06,0,0
-1.479200e-06,0,0
-1.478800e-06,0,-2
-1.478400e-06,0,0
-1.478000e-06,0,-2
-1.477600e-06,0,-2
-1.477200e-06,0,0
-1.476800e-06,0,-2
-1.476400e-06,0,-2
-1.476000e-06,-0.2,0
-1.475600e-06,0,0
-1.475200e-06,0,0
-1.474800e-06,0,-2
-1.474400e-06,0,0
-1.474000e-06,0,-2
-1.473600e-06,0,-2
-1.473200e-06,0,-2
-1.472800e-06,0,0
-1.472400e-06,0,0
-1.472000e-06,-0.2,-2
-1.471600e-06,0,-2
-1.471200e-06,0,-2
-1.470800e-06,0,-2
-1.470400e-06,0,0
-1.470000e-06,0,-2
-1.469600e-06,0,0
